Action,Cost,Profit,Result_after_profit,Valeur_du_profit
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
Action-1,20,5,1.0,19.0
Action-2,30,10,3.0,27.0
Action-3,50,15,7.5,42.5
Action-4,70,20,14.0,56.0
Action-5,60,17,10.200000000000001,49.8
Action-6,80,25,20.0,60.0
Action-7,22,7,1.54,20.46
Action-8,26,11,2.86,23.14
Action-9,48,13,6.24,41.76
Action-10,34,27,9.18,24.82
Action-11,42,17,7.140000000000001,34.86
Action-12,110,9,9.9,100.1
Action-13,38,23,8.74,29.259999999999998
Action-14,14,1,0.14,13.86
Action-15,18,3,0.54,17.46
Action-16,8,8,0.64,7.36
Action-17,4,12,0.48,3.52
Action-18 ,10,14,1.4000000000000001,8.6
Action-19,24,21,5.04,18.96
Action-20,114,18,20.52,93.48
